1,-68,-948,-257,0,7,0,19,255,244
2,271,-1076,-257,1016,1008,1016,254,255,232
3,272,-962,-257,0,0,0,14,255,235
4,251,-1058,-257,1016,1000,0,12,255,249
5,208,-997,-257,1016,1016,0,10,255,244
6,232,-993,-257,0,0,0,3,255,235
7,305,-966,-257,0,3,1016,252,255,238
8,266,-927,-257,1016,976,1016,243,255,242
9,154,-952,-257,1016,1008,0,11,255,255
10,111,-956,-257,1016,1000,0,10,255,255
11,101,-971,-257,1016,960,0,6,255,252
12,76,-1063,-514,1016,1008,0,9,0,3
13,98,-1040,-257,0,0,0,1,255,253
14,211,-972,-257,0,10,0,0,0,0
15,9,4,10,24,1,15,64,0,13
16,231,-940,-257,0,8,0,5,0,12
17,301,-1010,-257,1016,992,1016,254,0,0
18,155,-977,-257,1016,1016,1016,254,0,13
19,143,-956,-257,0,9,1016,252,0,6
20,139,-960,-257,0,7,1016,252,0,5
21,93,-1055,-257,0,11,1016,253,0,4
22,65,-1010,-257,0,10,1016,246,255,253
23,28,-1019,-257,0,4,1016,242,255,253
24,70,-1012,-257,0,2,1016,236,255,249
25,188,-984,-257,0,3,1016,235,255,250
26,14,-1006,-257,0,0,0,4,0,11
27,40,-976,-257,1016,976,1016,250,0,0
28,346,-1016,-257,1016,952,0,8,255,251
29,3,-984,-257,1016,936,0,31,0,6
30,-66,-1052,-257,1016,960,0,10,255,252
31,-45,-1060,-257,0,4,0,0,255,246
32,53,-933,-257,1016,920,0,7,255,255
33,-34,-976,-257,1016,928,0,17,255,250
34,-108,-944,-257,0,32,0,23,255,232
35,56,-882,-257,0,9,0,9,255,231
36,97,-935,-257,1016,960,0,8,255,231
37,163,-1107,-514,1016,640,0,4,255,236
38,577,-1101,-257,1016,968,0,13,255,225
39,397,-1099,-257,1016,752,0,36,255,255
40,265,-963,-257,1016,992,1016,246,255,235
41,408,-823,-257,0,0,0,3,0,0
42,416,-957,-257,1016,936,1016,255,0,26
43,334,-928,-257,1016,1016,1016,250,0,20
44,333,-865,-257,1016,1016,1016,238,0,11
45,283,-1005,-514,0,3,1016,239,0,12
46,7,-908,-257,0,24,0,0,0,17
47,89,-796,-257,0,8,1016,255,0,14
48,87,-984,-257,1016,904,0,21,0,6
49,19,-1036,-257,0,1,0,15,0,7
50,13,-971,-257,0,7,0,13,0,12
51,19,-975,-257,1016,960,0,21,0,9
52,-18,-976,-257,1016,904,0,25,0,4
53,51,-959,-257,1016,1000,0,8,255,243
54,231,-955,-257,1016,920,0,28,255,236
55,164,-988,-514,1016,920,0,0,255,229
56,128,-1031,-257,1016,1008,0,3,255,235
57,151,-1021,-257,1016,984,0,37,255,250
58,273,-1060,-257,1016,792,1016,241,255,223
59,521,-884,-257,0,3,1016,242,255,238
60,316,-921,-257,0,4,1016,246,0,13
61,233,-1006,-257,0,7,1016,226,0,7
62,315,-966,-257,0,21,1016,210,255,253
63,67,-1032,-257,1016,920,1016,255,0,14
64,202,-958,-257,1016,784,0,3,255,249
65,197,-996,-257,1016,696,0,8,255,253
66,258,-944,-514,1016,920,0,20,0,3
67,-74,-966,-257,1016,904,0,36,0,11
68,101,-892,-257,0,5,0,8,255,236
69,97,-945,-514,0,0,0,14,255,240
70,60,-899,-257,0,0,0,14,255,233
71,305,-990,-257,0,0,0,8,255,229
72,5,-2,0,82,52,23,14,30,79
73,218,-1044,-514,1016,928,0,5,255,238
74,331,-1192,-514,1016,944,0,8,255,221
75,471,-925,-514,1016,1000,0,31,255,241
76,262,-1110,-257,1016,936,0,11,255,250
77,340,-1056,-257,0,2,1016,245,255,245
78,387,-820,-257,0,6,1016,233,0,4
79,434,-760,-257,0,10,1016,232,0,7
80,433,-818,-257,0,0,1016,234,0,13
81,365,-982,-257,0,6,1016,239,0,22
82,265,-1050,-257,0,23,1016,241,0,28
83,220,-926,-257,0,32,1016,228,0,15
84,116,-993,-257,0,35,1016,218,255,245
85,80,-958,-257,0,29,1016,220,255,247
86,51,-990,-514,1016,720,0,13,255,251
87,48,-1314,-514,1016,776,0,5,255,232
88,242,-1124,-257,0,23,1016,255,255,221
89,132,-929,-257,1016,840,0,13,0,1
90,100,-833,-257,0,4,0,30,0,3
91,-47,-981,-514,0,2,0,58,255,244
92,-64,-1033,-514,0,9,0,52,255,235
93,-94,-1019,-514,0,23,0,40,255,233
94,22,-807,-257,0,47,0,13,255,233
95,278,-1325,-514,1016,368,0,0,255,239
96,535,-1404,-514,1016,664,0,3,255,235
97,610,-892,-257,0,7,0,30,255,232
98,245,-1044,-257,1016,952,0,24,0,0
99,427,-877,-257,0,0,0,24,0,0
100,397,-890,-257,1016,968,0,18,0,0
101,478,-938,-257,1016,1000,0,4,0,7
102,320,-957,-257,1016,976,0,1,0,15
103,321,-948,-257,1016,1016,1016,254,0,12
104,328,-944,-257,0,0,1016,254,0,13
105,283,-984,-257,0,6,0,0,0,16
106,241,-995,-257,0,18,1016,246,0,15
107,170,-1008,-257,0,27,1016,238,0,2
108,112,-813,0,0,21,1016,238,0,7
109,81,-967,-257,1016,784,1016,240,255,237
110,210,-1112,-514,1016,768,1016,241,255,237
111,261,-843,-257,0,0,1016,251,255,248
112,155,-906,-257,1016,784,0,16,0,4
113,48,-966,-257,1016,856,0,24,0,3
114,29,-933,-257,0,10,0,22,255,244
115,33,-922,-257,0,4,0,22,255,230
116,100,-921,-514,0,3,0,22,255,227
117,167,-1080,-257,0,11,0,17,255,244
118,311,-1137,-257,0,19,0,2,255,241
119,314,-1107,-257,1016,928,0,25,255,251
120,279,-977,-257,1016,1016,0,3,255,239
121,412,-780,0,0,15,1016,247,255,238
122,413,-850,-257,1016,984,1016,216,255,252
123,384,-957,-257,0,6,1016,228,0,6
124,444,-866,-257,0,12,1016,221,0,4
125,368,-1011,-257,0,4,1016,243,0,12
126,330,-1029,-257,0,14,1016,246,0,13
127,281,-1012,-257,0,24,1016,242,0,10
128,296,-1025,-257,0,30,1016,233,0,6
129,192,-1004,-257,0,39,1016,238,0,6
130,100,-1005,-257,0,42,1016,232,0,2
131,131,-796,0,0,36,1016,217,0,4
132,221,-867,-257,1016,992,1016,244,255,253
133,345,-837,-257,1016,872,0,1,255,249
134,261,-868,-257,1016,760,0,27,0,1
135,87,-1009,-257,1016,752,0,32,0,1
136,24,-1069,-257,1016,872,0,17,255,251
137,77,-945,-257,1016,1016,0,12,255,252
138,81,-945,-257,0,1,0,18,255,248
139,111,-912,-257,1016,976,0,47,255,253
140,45,-1072,-257,1016,968,0,53,255,250
141,359,-995,-257,0,23,1016,250,255,234
142,9172,2573,21283,16,0,472,251,93,254
143,492,-1418,-514,1016,816,0,11,255,212
144,281,-1069,-257,1016,872,0,39,0,8
145,235,-1019,-257,1016,1000,1016,255,255,242
146,415,-920,-257,0,1,1016,243,255,237
147,525,-796,-257,1016,1000,1016,244,255,248
148,415,-843,-257,1016,976,1016,247,0,3
149,410,-856,-257,1016,944,1016,244,0,16
150,404,-954,-257,0,8,1016,226,0,6
151,356,-1017,-257,0,8,1016,245,0,8
152,248,-970,-257,0,20,1016,247,0,11
153,274,-924,-257,0,16,1016,235,0,0
154,80,-871,-257,0,10,0,0,0,22
155,169,-909,-257,1016,944,1016,238,255,250
156,166,-1048,-514,1016,1000,0,14,255,253
157,140,-991,-257,0,0,0,8,255,254
158,152,-932,-257,1016,1000,0,10,255,253
159,140,-987,-257,1016,824,0,29,0,0
160,53,-994,-257,0,1,0,22,0,4
161,37,-955,-257,0,3,0,21,255,254
162,90,-905,-257,0,6,0,17,255,241
163,0,-895,-514,0,5,0,22,255,242
164,230,-1267,-514,1016,512,0,7,255,231
165,627,-982,-257,1016,864,0,19,255,250
166,434,-962,-257,1016,928,0,25,0,9
167,360,-1012,-257,1016,800,0,4,255,253
168,379,-994,-257,1016,1016,1016,255,255,247
169,386,-897,-257,0,4,1016,242,255,254
170,417,-836,-257,0,6,1016,226,0,0
171,415,-898,-257,1016,1008,1016,248,0,16
172,333,-939,-257,0,6,1016,248,0,14
173,322,-953,-257,0,13,1016,242,0,10
174,329,-937,-257,0,14,1016,240,0,9
175,316,-913,-257,0,12,1016,244,0,7
176,309,-945,-257,0,11,1016,245,0,5
177,300,-1008,-257,0,15,1016,251,0,1
178,287,-984,-257,0,28,1016,251,0,0
179,-16870,-2037,3411,35,992,1016,134,252,248
180,39,-870,0,1016,936,1016,253,0,3
181,283,-1137,-257,1016,888,1016,236,255,240
182,325,-1092,-514,0,0,1016,254,255,229
183,177,-932,-257,1016,960,0,3,0,0
184,139,-925,-257,1016,872,0,21,255,250
185,144,-880,-257,0,3,0,15,255,237
186,101,-787,-257,0,6,0,13,0,20
