1,181,-947,-514,0,0,0,0,255,253
2,197,-928,-514,0,0,0,0,255,252
3,199,-930,-514,0,0,0,2,255,254
4,174,-935,-514,0,1,0,3,255,255
5,166,-936,-514,0,2,0,3,255,255
6,170,-938,-514,0,0,0,3,255,255
7,110,-880,-257,0,1,0,6,255,254
8,34,-838,-257,1016,992,0,14,255,248
9,9,-1003,-257,1016,944,0,18,255,237
10,-52,-1121,-514,1016,904,0,22,255,239
11,-114,-944,-257,0,4,0,19,255,245
12,404,-870,-514,0,41,1016,146,255,226
13,-83,-389,0,0,70,0,26,0,13
14,132,555,180,0,40,1016,162,255,234
15,703,139,0,1016,952,1016,216,0,38
16,440,-1295,-771,1016,840,1016,254,255,219
17,542,-1476,-514,1016,832,1016,239,255,177
18,1060,-1708,-514,1016,1016,0,102,255,208
19,-367,-2017,-771,1016,456,0,96,255,252
20,-336,-1851,-514,1016,680,0,0,0,42
21,406,-898,-257,0,0,1016,253,255,190
22,49,139,-257,0,35,1016,203,0,22
23,59,244,-257,0,52,1016,211,255,253
24,162,332,0,0,91,1016,246,255,240
25,-78,12,0,1016,936,1016,205,0,104
26,425,-1997,-1799,0,44,0,71,0,43
27,-498,-2033,-1285,0,110,0,39,0,8
28,5,-731,-257,0,11,0,39,255,244
29,413,-82,-257,0,52,0,16,0,101
30,390,-1467,-514,0,77,0,33,255,219
31,178,-1977,-771,1016,224,0,34,255,205
32,-497,-1965,-514,1016,504,0,8,0,48
33,-62,-1202,-257,1016,504,0,5,255,239
34,22,-208,-257,0,264,0,67,255,210
35,405,266,0,0,106,1016,153,0,36
36,419,-44,-514,1016,592,1016,150,0,61
37,1269,-1366,-771,1008,264,1016,218,255,154
38,-105,-1562,0,0,121,0,9,255,224
39,345,742,442,0,20,1016,203,0,5
40,640,254,33,1016,656,0,16,0,35
41,1012,-1414,-1028,1016,232,1016,221,0,22
42,-117,-1960,-1285,1016,72,0,151,0,23
43,979,-1163,-514,0,84,1016,213,255,174
44,782,-1818,-514,1016,896,0,34,255,233
45,-104,-2011,-1028,1016,87,0,82,0,78
46,527,-67,-514,0,20,1016,205,0,99
47,-478,-2008,-1799,1008,696,0,177,0,86
48,186,-1893,-1285,1,17,1016,250,255,185
49,83,-949,112,0,672,0,20,0,19
50,1078,734,0,1016,864,1016,174,0,45
51,283,-66,0,1016,91,0,162,0,20
52,439,-1930,-1542,1016,111,0,211,255,223
53,283,-1465,-514,0,98,1016,195,255,232
54,64,-1961,-771,1016,85,0,66,0,15
55,-329,-1778,-514,1016,672,0,4,0,54
56,-304,-1279,-257,1016,464,1016,232,0,24
57,80,-692,-257,1016,8,0,5,255,187
58,639,98,-257,0,83,0,5,0,4
59,57,130,-257,0,352,1016,254,0,166
60,-94,212,-257,0,768,1016,143,0,35
61,-67,-2024,-1799,0,46,0,8,0,5
62,-299,-1786,-771,1,64,0,17,255,228
63,-82,-1016,-514,0,38,0,40,255,217
64,-367,286,0,0,136,0,60,255,235
65,1032,1059,295,0,1,1016,169,0,13
66,-305,-142,107,0,72,152,99,78,180
67,605,-1936,-1542,1016,648,0,165,0,17
68,523,-1947,-771,1016,99,0,37,255,188
69,8,-366,-257,1016,496,0,25,255,178
70,-96,189,-257,0,67,1016,233,255,154
71,376,-207,0,0,18,1016,195,0,34
72,241,-367,0,0,93,1016,207,0,57
73,865,320,-514,0,688,1016,161,255,211
74,1237,-841,-514,1016,128,1016,183,0,14
75,568,-1889,-1799,1008,4,0,170,255,212
76,-179,-2023,-1542,0,712,0,55,255,231
77,-382,-1676,-514,1,74,0,27,255,236
78,121,-1172,0,0,16,1016,206,255,206
79,-67,-1042,-771,1016,704,0,36,255,224
80,1182,1209,205,0,472,1008,243,0,72
81,813,1005,0,1016,200,0,158,0,48
82,-187,-234,0,1016,3,0,148,0,99
83,712,-823,-1285,1016,848,1016,245,0,73
84,994,-1884,-1285,0,19,0,38,255,253
85,-705,-2021,-1285,1016,70,0,75,0,80
86,-672,-1331,-514,1016,896,1016,198,0,2
87,115,-799,0,1016,776,1016,186,255,138
88,433,-283,0,1016,376,1016,238,255,152
89,258,377,-514,0,35,0,11,255,169
90,-3,-45,0,0,528,1016,197,0,65
91,386,252,-514,0,736,1016,168,255,246
92,662,-223,-514,1016,928,1016,172,255,189
93,-453,-1883,-514,1,101,0,50,0,29
94,-56,-1088,0,0,79,0,6,255,200
95,-78,758,589,0,119,0,22,255,251
96,1138,967,260,0,20,1016,138,0,34
97,320,-207,-257,1016,152,0,75,0,98
98,33,-152,-257,0,46,0,32,0,90
99,811,-1120,-257,1016,624,0,39,255,224
100,-192,-1894,-771,1016,85,0,128,0,54
101,618,-627,0,1016,384,1016,253,255,147
102,-19,-48,0,0,37,1016,217,0,23
103,253,205,-257,0,752,1016,112,255,251
104,1770,-1704,-1285,1008,96,1016,202,255,216
105,-62,-1997,-1799,0,9,0,68,0,128
106,-338,-2033,-1799,0,107,0,51,255,233
107,-220,-2038,-771,0,768,1016,253,255,239
108,-318,-375,-514,0,11,0,58,0,3
109,-539,598,374,0,80,0,83,0,36
110,-159,-1581,-771,0,9,1016,229,255,252
111,529,553,-514,1016,464,1016,179,0,10
112,247,-474,526,1016,520,1016,227,0,156
113,58,86,-514,0,82,0,14,0,123
114,1112,-1419,-1028,1008,512,1016,97,255,217
115,171,-1160,0,0,440,1016,225,255,211
116,211,356,0,1008,984,0,135,0,58
117,21,-133,0,1008,816,0,95,0,59
118,1443,-1787,-1799,1016,392,1016,197,0,1
119,942,-1913,-1799,1016,768,0,74,255,245
120,-573,-1144,0,1,19,0,89,0,43
121,-193,-2005,-771,1016,94,0,80,0,67
122,-826,-1659,-771,1016,127,0,32,0,60
123,-163,-1232,-514,1016,124,1016,210,255,184
124,55,241,-257,1016,1008,0,89,255,186
125,-9,215,-257,0,70,0,50,255,231
126,-74,98,0,0,888,1016,178,0,72
127,-56,-1991,-1799,1,6,0,50,0,30
128,85,-1319,0,0,872,0,18,255,219
129,-10,-1009,-257,0,5,0,73,0,3
130,-107,693,717,0,110,1016,96,0,14
